frame,class,confidence,x1,y1,x2,y2
10,person,0.673458456993103,119.57825,104.33368,256.714,262.3358
10,tv,0.3429919481277466,212.95941,4.474556,429.48642,219.09726
11,person,0.7297623753547668,119.565735,103.81801,260.84085,262.77887
11,tv,0.49183201789855957,211.0794,4.9601593,429.27457,217.85214
12,tv,0.8298412561416626,215.6073,6.3399887,429.94153,215.41243
12,person,0.7501631379127502,119.50986,103.342834,260.6705,263.36014
13,tv,0.8383504152297974,217.45148,6.680336,428.48648,214.02165
13,person,0.7768192291259766,119.49766,102.74358,270.2922,263.18646
13,person,0.4138973653316498,537.55725,88.59844,639.5624,261.67734
14,tv,0.8320532441139221,217.81508,6.912277,429.5454,213.88126
14,person,0.7942043542861938,119.86058,103.24945,275.64252,263.12994
14,person,0.25565338134765625,540.6787,89.03932,639.50244,261.26373
15,tv,0.8371222019195557,218.14249,7.1181946,428.44794,213.61435
15,person,0.7997406125068665,119.999344,102.31716,275.95,263.06476
15,person,0.3094147741794586,546.9292,88.469604,639.40283,260.93405
16,tv,0.8458318114280701,218.66046,5.5646973,429.14294,213.08557
16,person,0.7677916884422302,119.85701,102.112976,273.8214,262.91357
16,person,0.2911897897720337,534.0332,87.88733,639.56836,262.56918
16,person,0.29006466269493103,539.8947,88.548485,639.4419,262.0103
17,tv,0.8440715074539185,219.53949,6.2493973,431.94543,211.63168
17,person,0.6835337281227112,119.55551,102.38929,258.4903,262.84555
17,person,0.5209458470344543,534.56085,88.11017,639.66956,262.63596
18,tv,0.8324342370033264,219.42685,5.90831,431.47614,211.09747
18,person,0.6798383593559265,119.53769,102.01845,254.0058,262.9874
18,person,0.423287957906723,540.80304,88.782616,639.6525,261.81738
19,tv,0.8520181179046631,219.23315,6.182831,429.5653,211.19727
19,person,0.75401371717453,119.41026,101.912445,253.3812,263.4178
19,person,0.6084345579147339,532.2448,87.80802,639.78217,262.75092
20,tv,0.8382657170295715,219.8411,6.555794,429.84198,209.93498
20,person,0.7756193280220032,119.38825,101.70278,255.8342,263.4727
20,person,0.71546870470047,532.90186,87.589096,639.76056,262.8949
20,person,0.38294655084609985,26.465137,146.98904,124.71794,264.35568
21,tv,0.8221815228462219,219.85013,6.3063583,431.7182,210.37283
21,person,0.7499545812606812,119.45938,101.71424,256.26804,263.33575
21,person,0.6871488094329834,534.01404,88.41865,639.7443,262.72708
22,tv,0.8214978575706482,220.10236,6.890465,432.15375,209.75189
22,person,0.7189756631851196,533.72565,88.28002,639.7528,262.9203
22,person,0.6885198354721069,119.407486,101.554344,266.10538,263.26453
22,person,0.41345176100730896,26.951363,147.1801,121.824875,264.0705
22,bottle,0.2607927918434143,340.5125,48.080837,372.78873,120.95056
23,person,0.679841160774231,534.07416,88.47335,639.7256,262.8608
23,tv,0.6777964234352112,221.06631,6.6261215,432.5102,207.72046
23,person,0.6468909978866577,119.5917,102.44692,261.15726,263.113
23,bottle,0.28849542140960693,340.31985,48.490604,372.4359,120.45131
24,person,0.6867648959159851,119.62392,102.00362,273.24884,263.04504
24,person,0.6573607921600342,533.88306,88.41905,639.7184,262.82983
24,tv,0.599052369594574,221.09854,6.4805145,431.58215,207.49649
24,bottle,0.5530864000320435,340.18878,48.493282,372.26035,120.50633
25,person,0.6964026689529419,533.5473,88.43051,639.7219,262.76874
25,tv,0.6325632333755493,220.52863,6.002228,432.2436,206.2435
25,person,0.4876725673675537,103.4675,102.043335,268.24313,263.01868
25,bottle,0.2923023998737335,340.27707,48.04899,372.6782,121.03175
26,person,0.7260108590126038,533.6442,88.46986,639.7343,262.7597
26,tv,0.6857984066009521,220.12253,5.8613663,432.4102,205.95169
26,person,0.6128076314926147,118.16385,102.44984,268.28748,263.07507
27,person,0.7117992043495178,533.74744,88.51558,639.71094,262.64282
27,tv,0.7113379836082458,219.84964,5.8047485,432.68936,206.12352
27,person,0.6102293133735657,117.17082,102.54179,273.3367,263.0014
28,person,0.7666205167770386,533.43823,88.48724,639.75366,262.98102
28,tv,0.7329418063163757,220.25436,6.113579,435.67767,206.17097
28,person,0.7173144817352295,118.87717,101.95498,274.05576,263.26367
28,person,0.4425358176231384,23.893505,145.19833,123.25819,264.39703
29,tv,0.7639898061752319,220.47781,6.3992767,436.41415,206.14557
29,person,0.7511919140815735,533.89136,88.50099,639.75745,262.90778
29,person,0.7232453227043152,118.86999,102.06805,274.51926,263.2532
29,person,0.3709758222103119,22.907131,144.48264,123.94426,264.39984
30,person,0.7499411106109619,533.6106,88.57051,639.7725,262.98492
30,person,0.7286093831062317,118.88881,103.0022,275.32968,263.24222
30,tv,0.6785784363746643,219.90778,5.733818,435.19757,205.37738
30,person,0.4662926197052002,22.563099,138.31885,124.92534,264.33005
31,person,0.7482370138168335,533.3342,88.104904,639.77264,263.0348
31,person,0.7268220782279968,118.75822,103.21637,276.35812,263.1814
31,tv,0.6463269591331482,220.14578,5.415489,436.07498,205.65234
31,person,0.46399787068367004,22.560734,138.29916,123.65543,264.28998
32,person,0.7546023726463318,533.5023,86.6538,639.7684,263.19754
32,person,0.7093637585639954,118.963554,103.309715,271.657,263.27103
32,person,0.6685476899147034,20.85757,137.0224,125.74776,264.48312
32,tv,0.6653500199317932,219.92674,5.669876,432.52057,205.63538
32,bottle,0.30326616764068604,340.7232,49.282963,372.17517,120.41385
33,person,0.7200513482093811,534.5125,87.33561,639.7422,263.31693
33,person,0.6761865019798279,20.248287,137.34683,126.22325,264.5367
33,person,0.6490240097045898,119.31113,102.72692,280.0218,263.38556
33,bottle,0.49723246693611145,341.01184,49.196556,372.02405,120.42145
33,tv,0.4103738069534302,221.51836,5.503212,433.49622,204.25494
34,person,0.7436482310295105,534.6601,87.40408,639.7649,263.352
34,person,0.7094351649284363,20.420937,138.66663,126.70424,264.72736
34,person,0.5206731557846069,119.222374,103.6662,248.80847,263.79333
34,tv,0.5083593726158142,220.15164,5.151451,433.0124,204.8317
34,bottle,0.40961137413978577,340.93146,49.13327,372.12344,120.43361
35,person,0.7339391708374023,534.77356,86.974014,639.76135,263.45883
35,person,0.7093845009803772,20.576633,138.31638,126.511475,264.71017
35,tv,0.5443692803382874,219.51529,4.912468,432.36377,206.15547
35,person,0.5287743806838989,119.17398,103.82796,245.87701,263.91428
35,bottle,0.48200440406799316,341.02057,49.200405,372.11807,120.42792
36,person,0.7319326996803284,534.7558,87.03867,639.757,263.23535
36,person,0.7232140898704529,20.464272,137.85822,125.9877,264.79895
36,person,0.6174784302711487,119.23164,103.87054,245.30441,263.8018
36,bottle,0.5256189107894897,340.87238,49.17971,372.10614,120.45917
36,tv,0.4739488363265991,219.05142,4.8751907,433.3623,207.24431
37,person,0.7472842335700989,534.4156,87.34948,639.75543,263.32294
37,person,0.7296893000602722,20.453098,138.60727,125.24393,264.7411
37,person,0.6530682444572449,119.35098,103.81002,245.42935,263.8985
37,tv,0.5528768301010132,218.85815,4.5459213,432.78842,207.63164
37,bottle,0.49529141187667847,340.90222,49.169563,372.10037,120.429596
38,person,0.7519763708114624,534.26447,86.63101,639.7486,263.34576
38,person,0.7255896925926208,20.517982,138.68124,125.16293,264.93637
38,person,0.6820553541183472,119.287605,103.91202,245.56577,263.86966
38,tv,0.5657055377960205,218.7221,4.455696,433.60635,208.72691
38,bottle,0.4594768285751343,340.76962,49.135605,372.15936,120.44679
39,person,0.7528173923492432,534.2997,86.42239,639.75183,262.84033
39,person,0.7139493823051453,20.509438,139.74521,124.306206,264.93655
39,person,0.6631587743759155,119.297226,103.72298,245.60638,263.85016
39,tv,0.6334812641143799,218.40327,4.8858185,432.49377,208.62622
40,person,0.7440940737724304,534.31433,87.09403,639.74554,262.59875
40,person,0.6953833103179932,20.587154,138.86931,124.712326,264.6726
40,person,0.6763564944267273,119.61221,103.639885,244.92076,263.80902
40,tv,0.56984543800354,217.92706,5.003723,431.54254,208.42706
41,person,0.7396391034126282,534.4122,87.2451,639.7372,263.05603
41,person,0.6894870400428772,20.461147,140.96878,124.426125,264.61502
41,tv,0.6335170865058899,217.38985,4.7642746,431.78827,209.5203
41,person,0.6269648671150208,119.58917,103.60051,250.83752,263.79877
42,person,0.7313269376754761,534.64795,87.27051,639.73804,263.0209
42,person,0.6896088123321533,20.379383,142.25012,123.94545,264.64355
42,tv,0.6479065418243408,216.82031,4.9110565,431.05408,207.59776
42,person,0.6099610328674316,119.48098,103.59392,269.48056,263.8679
43,person,0.7116040587425232,534.6374,87.14369,639.73956,262.66068
43,person,0.6433941721916199,20.430496,142.5811,123.57492,264.5543
43,tv,0.5784727334976196,216.67654,4.917061,430.09015,206.38922
43,person,0.5746963620185852,119.653015,103.60428,272.74377,263.7771
44,person,0.689365804195404,534.42114,87.64078,639.7255,262.8348
44,tv,0.6033768057823181,216.44435,4.91008,429.79538,206.69803
44,person,0.4959406554698944,20.31157,143.9389,121.65074,264.25836
44,person,0.2863256633281708,119.59697,103.93276,237.35321,263.4901
45,person,0.7290396690368652,534.45197,87.63996,639.741,262.84158
45,tv,0.6977169513702393,215.42856,5.151436,430.28925,206.95465
45,person,0.6518222093582153,20.52298,143.70898,122.12224,264.38406
45,person,0.33954012393951416,119.46251,104.21361,221.03978,263.7561
45,bottle,0.2514309287071228,340.5143,49.079784,372.08032,120.43849
46,person,0.7366618514060974,534.53827,88.07009,639.73804,262.77737
46,tv,0.66800457239151,214.98703,5.312126,430.42572,207.59198
46,person,0.5651689171791077,20.320107,143.46591,121.447296,264.43854
46,person,0.44764143228530884,119.289215,104.30321,220.3595,263.86835
47,person,0.7362109422683716,534.5143,88.559525,639.74,262.70648
47,person,0.5929311513900757,19.85268,142.37338,121.0614,264.42444
47,tv,0.5636476874351501,214.35463,4.99971,428.85196,205.43515
47,person,0.4736710488796234,119.538376,104.261116,219.79922,263.9046
48,person,0.7265233993530273,534.54565,88.60669,639.72705,262.76593
48,person,0.5382461547851562,20.991268,143.00117,120.49834,264.15204
48,person,0.5304539799690247,119.59798,104.278,219.57889,263.84903
48,tv,0.49195724725723267,214.97102,5.040329,427.69678,204.81314
48,bottle,0.25670120120048523,340.3137,49.038372,372.19434,120.50305
49,person,0.7227474451065063,534.37897,88.71646,639.7213,262.94714
49,person,0.6439047455787659,20.462555,142.73598,120.77551,264.46677
49,person,0.5467853546142578,119.702675,104.21422,221.21617,263.99472
49,tv,0.4676141142845154,215.55562,4.8896484,427.91104,202.80618
50,person,0.7070350646972656,534.47614,88.74456,639.70374,262.91348
50,person,0.5970297455787659,20.480854,143.76193,119.09369,264.56293
50,person,0.5111775398254395,119.74285,104.10906,219.68156,263.85614
50,tv,0.4047069251537323,214.70563,4.8491898,429.1812,203.47203
51,person,0.72050541639328,535.0368,89.23942,639.7393,263.06705
51,person,0.6770558953285217,20.329887,143.79092,119.42257,264.68054
51,person,0.562130331993103,119.70274,104.14416,220.31325,264.04602
51,tv,0.4522809088230133,214.54395,4.7040176,428.5915,203.45996
52,person,0.7249135375022888,534.88434,89.488556,639.7379,263.11694
52,person,0.7147390842437744,20.287315,145.15916,117.84755,264.77698
52,tv,0.587329626083374,161.47664,1.6416168,608.9269,259.83655
